job_id,skill
crawl_006,Hydraulischen Systemen
crawl_006,Elektromechanischen Systemen
crawl_006,Technische Beschreibungen
crawl_006,Schemata lesen
crawl_006,Betriebs und Einsatzdaten
crawl_006,Mess und Testgeräten
crawl_006,Anleitungen und Dokumentationen
crawl_006,Wissensaustausch im Team
crawl_006,Technische Herausforderungen
crawl_006,Technische Schemata
crawl_007,moderne Diagnosegeräte
crawl_007,Rapporte verfassen
crawl_007,Arbeit dokumentieren
crawl_008,Reisegepäck sortieren
crawl_008,Pakete sortieren
crawl_008,Briefe sortieren
crawl_008,Sendungen laden
crawl_008,Strassenfahrzeugen transportieren
crawl_008,Tür zu Tür Transport
crawl_008,Werbeplakate platzieren
crawl_008,Arbeitssicherheit Bewusstsein
crawl_008,Kundenorientiert arbeiten
crawl_008,Qualitätsorientiert arbeiten
crawl_008,Deutsche Sprache beherrschen
crawl_009,IT Betriebsprozesse weiterentwickeln
crawl_009,Koordination bei IT Grossstörungen
crawl_009,strukturierte Störungsbehebung
crawl_009,transparente Kommunikation
crawl_009,End to End Massnahmen koordinieren
crawl_009,Schnittstellen abstimmen
crawl_009,Plattformen abstimmen
crawl_009,Netzwerke abstimmen
crawl_009,Applikationen abstimmen
crawl_009,interne Stakeholder zusammenarbeiten
crawl_009,externe Stakeholder zusammenarbeiten
crawl_009,schnelle Auffassungsgabe
crawl_009,sicheres Auftreten
crawl_009,fundierte Entscheidungen treffen
crawl_009,breites IT Verständnis
crawl_009,mit Dienstleistern zusammenarbeiten
crawl_010,personelle Führung
crawl_010,fachliche Führung
crawl_010,Prüfen von Erdungsstangen
crawl_010,Unterhalten von Erdungsstangen
crawl_010,Prüfen von Spannungsprüfern
crawl_010,Unterhalten von Spannungsprüfern
crawl_010,Prüfen von Leistungstransformatoren
crawl_010,Unterhalten von Leistungstransformatoren
crawl_010,Unterhalt der Betriebsmittel
crawl_010,Reparatur der Betriebsmittel
crawl_010,Entwickeln von Prozessen
crawl_010,Dokumentieren von Arbeitsanweisungen
crawl_010,Wissenserhalt im Team
crawl_010,Wissenstransfer im Team
crawl_010,Koordinieren von Dienstleistungen
crawl_010,Portfolio der elektrischen Werkstatt
crawl_010,Fördern der Weiterentwicklung
crawl_010,Führungsgrundsätze anwenden
crawl_010,Organisieren des Arbeitsablaufs
crawl_010,Überwachen der Erledigung
crawl_010,Weiterentwicklungen einbringen
crawl_010,Verbessern von Dienstleistungen
crawl_010,Schnittstellenkomplexität reduzieren
crawl_010,strategisch-konzeptionelle Fähigkeiten
crawl_010,analytisches Denkvermögen
crawl_010,kreatives Denkvermögen
crawl_010,Erarbeiten von en
crawl_010,Optimieren von en
crawl_010,Erstellen von Reportings
crawl_010,MS-Office Kenntnisse
crawl_010,SAP Kenntnisse
crawl_011,BI - Lösung
crawl_011,BI - Lösungen
crawl_011,IT und Fachbereiche
crawl_011,Best Practices
crawl_011,Power BI
crawl_011,BI - Portfolios
crawl_011,AI mit
crawl_011,Governance - Know - how
crawl_012,MS Office
crawl_012,Excel Kenntnisse
crawl_012,CERES Kenntnisse
crawl_012,SAP Kenntnisse
crawl_013,Unterhalt Kabelanlagen
crawl_013,Erneuerung Kabelanlagen
crawl_013,Unterhaltsarbeiten Kabeltrassen
crawl_013,Erneuerungsarbeiten Kabeltrassen
crawl_013,Sanierungsarbeiten Kabeltrassen
crawl_013,fachliche Anleitung
crawl_013,Lieferkoordination Baustelle
crawl_013,Mastfundamente bauen
crawl_013,Mastfundamente warten
crawl_013,Arbeiten rapportieren
crawl_013,Arbeitszeiten erfassen
crawl_013,Spesen erfassen
crawl_013,Sicherheitsmassnahmen überwachen
crawl_013,Sicherheitswärter Einsätze
crawl_013,digitale Arbeitsmittel
crawl_013,Smartphone nutzen
crawl_013,Tablet nutzen
crawl_013,Office Anwendungen
crawl_013,Deutsch in Wort und Schrift
crawl_014,Montage / Demontage von Anlagen
crawl_014,Unterhalt an Aussenanlagen
crawl_014,Weichen Unterhalt
crawl_014,Signale Unterhalt
crawl_014,Gleisfreimeldesysteme Unterhalt
crawl_014,Zugsbeeinflussung Unterhalt
crawl_014,ETCS Unterhalt
crawl_014,Weichenheizung Unterhalt
crawl_014,Ent rung von Anlagen
crawl_014,Rapporting mit Systemen
crawl_014,Arbeiten mit Programmen
crawl_014,Nachführung der Dokumente
crawl_014,Deutschkenntnisse B2 Niveau
crawl_015,selbständige Planen
crawl_015,installieren und Überwachen
crawl_015,Kabeltrassen und Kabelschächten
crawl_015,ausführen von Kabelzügen
crawl_015,bahntechnischen Kabeln
crawl_015,Reparaturen an Schachtdeckeln
crawl_015,Sanierungsarbeiten an Kabelschächten
crawl_015,Störungsbehebungen an Kabelinfrastrukturen
crawl_015,ordnungsgemässe Funktion wieder sicher
crawl_015,rapportierst die ausgeführten Arbeiten
crawl_015,erfasst Arbeitszeiten
crawl_015,bedienst du instruierte Maschinen
crawl_015,entsprechende Instruktionen
crawl_015,Sicherheitschef : in
crawl_015,fachgerechte und sichere Ausführung
crawl_015,Arbeitsstellen vor
crawl_015,stellst Materialien bereit
crawl_015,fachliche Führung von Mitarbeitenden
crawl_016,selbständige Planen
crawl_016,installieren und Überwachen
crawl_016,Kabeltrassen und Kabelschächten
crawl_016,ausführen von Kabelzügen
crawl_016,bahntechnischen Kabeln
crawl_016,Reparaturen an Schachtdeckeln
crawl_016,Sanierungsarbeiten an Kabelschächten
crawl_016,Störungsbehebungen an Kabelinfrastrukturen
crawl_016,ordnungsgemässe Funktion wieder sicher
crawl_016,erstellst die Arbeitsplanung
crawl_016,rapportierst die ausgeführten Arbeiten
crawl_016,erfasst Arbeitszeiten
crawl_016,bedienst du instruierte Maschinen
crawl_016,führst entsprechende Instruktionen
crawl_016,Arbeit als Sicherheitschef
crawl_016,fachgerechte und sichere Ausführung
crawl_016,Arbeitsstellen vorbereiten
crawl_016,Materialien bereitstellen
crawl_016,Einhaltung der Sicherheitsstandards
crawl_016,Einhaltung der Qualitätsstandards
crawl_016,fachliche Führung von Mitarbeitenden
crawl_016,fachliche Führung von Dritten
crawl_017,Abwicklung Bauvorhaben
crawl_017,raumplanerischen Vorlagen
crawl_017,interne Schnittstellen
crawl_017,Beurteilung raumplanerischen Massnahmen
crawl_017,Gesuche sowie Stellungnahmen
crawl_017,Interessen der SBB
crawl_017,Erkennung von Potentialen
crawl_017,eigeninitiativ zu handeln
crawl_017,adressatengerechte Kommunikation
crawl_017,Argumente zu präsentieren
crawl_017,IT - Kenntnisse
crawl_017,MS - Office
crawl_017,SAP Kenntnisse
crawl_017,gängigen Programmen
crawl_017,Deutsch verhandlungssicher
crawl_018,Kältetechnik Komponenten
crawl_018,technisches Anforderungsmanagement
crawl_018,Anforderungen analysieren
crawl_018,Änderungen bewerten
crawl_018,Umsetzung koordinieren
crawl_018,regulatorische Vorgaben
crawl_018,technisches Monitoring
crawl_018,Freigaben verantworten
crawl_018,Instandhaltungsvorgaben erstellen
crawl_018,Instandhaltungsvorgaben prüfen
crawl_018,technische Unterstützung Betrieb
crawl_018,Wartungsfreundlichkeit bewerten
crawl_018,prädiktive Wartungsdaten nutzen
crawl_018,Versuche betreuen
crawl_018,Messtechnik installieren
crawl_018,Heizungstechnik Kenntnisse
crawl_018,Lüftungstechnik Kenntnisse
crawl_018,Klimatechnik Kenntnisse
crawl_018,Kältetechnik Kenntnisse
crawl_018,bahnspezifisches Wissen
crawl_019,ETCS L2 Projekte
crawl_019,Anlagen- oder Änderungsprojekten
crawl_019,Risiken im Projekt
crawl_019,Fachbereich Sicherheitsnachweisführung
crawl_019,analytisches Denkvermögen
crawl_019,konzeptionelles Denkvermögen
crawl_019,logisch-abstraktes Denkvermögen
crawl_019,unterschiedlichen Stakeholdern
crawl_019,gute Kommunikationsfähigkeiten
crawl_019,ausgeprägtes Sicherheitsbewusstsein
crawl_019,sorgfältige Arbeitsweise
crawl_019,Französisch Kenntnisse
crawl_020,First Level Support
crawl_020,technische Kenntnisse
crawl_020,IT Systemen
